timestamp,run_name,runner,git_commit,model_path,best_epoch,best_metric_name,best_metric_value,val_loss,val_accuracy,val_f1_macro,val_f1_weighted,val_precision_macro,val_recall_macro,epochs_max,patience,lr,clip_grad_max_norm,criterion_type,scheduler_step_per_batch,model_type,model_class,optimiser_class,scheduler_class,criterion_class,energy_model,training_time_sec
2026-04-26 13:09:32,tf_idf_run_20260426_130929,Andre_Hrs,72a96c8,trained_models/20260426_130929_tf_idf/tf_idf_model.pt,31,f1_macro,0.6075236201286316,1.140401177265473,0.6413502097129822,0.6075236201286316,0.6312249898910522,0.7195344567298889,0.5673618316650391,100,12,0.001,1.0,cross_entropy,False,tf_idf,TFIDFClassifier,Adam,StepLR,CrossEntropyLoss,True,1.646334171295166
2026-04-28 12:37:59,bert_energy_best_region,Aashutosh Chapagain,e9759ad,trained_models/20260428_122334_bert_energ/bert_energ_model.pt,4,f1_macro,0.6042246222496033,1.1048920858761428,0.6329113841056824,0.6042246222496033,0.6439900398254395,0.562599778175354,0.6206197142601013,5,2,2e-05,1.0,cross_entropy,False,BERT,BertClassifier,AdamW,StepLR,CrossEntropyLoss,True,855.0843210220337
2026-04-29 14:08:17,safetybert_energy_cls_lr2e5_do03,Aashutosh Chapagain,4ae682d,trained_models/20260429_134406_safetybert/safetybert_model.pt,4,f1_macro,0.6261062026023865,1.1226561039308958,0.6708860993385315,0.6261062026023865,0.6563838720321655,0.6473469138145447,0.624721109867096,5,2,2e-05,1.0,cross_entropy,False,BERT,BertClassifier,AdamW,StepLR,CrossEntropyLoss,True,1437.2847640514374
